Account,Date,Merchant,Description,Amount,Type,Category,Sub-category,Property,Unit,Notes
Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012,"November 09, 2025",Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER,Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER,-130,Loan Payments & Capex,Other Loan Interest Payments,,1432 Sara Ave.,,EARLDAO 13k Loan Payment
Ecosystems Asset Recovery Lending DAO LLC-EARLDAO Operations-1697,"November 09, 2025",Lofty Holding 1432 Sara Avenue DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 1432 Sara Avenue DAO LLC  |  INTERNAL_TRANSFER,130,Loan Payments & Capex,Other Loan Interest Payments,,EARLDAO,,EARLDAO 13k Loan Payment
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 09, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-944.43,,,,84 Madison Ave,,October PM Fee 15 percent
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",VENMO *Florence Odongo,"VENMO *Florence Odongo, Visa Direct, NY, US  |  **4225",-1570,,,,90 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",VENMO *Florence Odongo,"VENMO *Florence Odongo, Visa Direct, NY, US  |  **4225",-2250,,,,88 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",VENMO *Florence Odongo,"VENMO *Florence Odongo, Visa Direct, NY, US  |  **4225",-1495,,,,86 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",VENMO *Florence Odongo,"VENMO *Florence Odongo, Visa Direct, NY, US  |  **4225",-590,,,,84 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,590,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Florence Odongo Cleaning Oct 2025
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 09, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-590,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,1495,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Florence Odongo Cleaning Oct 2025
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 09, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-1495,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,1570,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,Florence Odongo Cleaning Oct 2025
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"November 09, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-1570,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,Florence Odongo Cleaning Oct 2025
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 09, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-2250,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,Florence Odongo Cleaning Oct 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 09, 2025",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,2250,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,Florence Odongo Cleaning Oct 2025
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 09, 2025",AMAZON MKTPL*BT2175Q41,"Purchase from AMAZON MKTPL*BT2175Q41  |  Address: Amzn.com/bill, WA, US  |  **3700",-30.76,,,,86 Madison Ave,,2x Curtain Rods
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 09, 2025",AMAZON MKTPL*BT8XJ76H0,"Purchase from AMAZON MKTPL*BT8XJ76H0  |  Address: Amzn.com/bill, WA, US  |  **3700",-188.35,,,,86 Madison Ave,,Curtain Rods + Curtains + Toilet Shelves
Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119,"November 08, 2025",THE HOME DEPOT #,"Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **3294",-21.92,Operating Expenses,Supplies,, 8143 S Sangamon St.,,
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Reserves-8826,"November 08, 2025",LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,-1000,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"November 08, 2025",LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,1000,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 08, 2025",Amazon.com*BT6VO0HR0,"Purchase from Amazon.com*BT6VO0HR0  |  Address: Amzn.com/bill, WA, US  |  **0745",-20.51,,,,88 Madison Ave,,2-pack LED Spotlights
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 08, 2025",Walmart.com,"Purchase from Walmart.com  |  Address: Bentonville, AR, US  |  **5487",-75.34,Operating Expenses,Supplies,,84 Madison Ave,,2x Blinds
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 08, 2025",AMAZON MKTPL*BT5DR2BP1,"Purchase from AMAZON MKTPL*BT5DR2BP1  |  Address: Amzn.com/bill, WA, US  |  **3700",-155.49,,,,86 Madison Ave,,2x Keurig K-Express + 2x Curtains
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 08, 2025",AMAZON MKTPL*BT04W45M0,"Purchase from AMAZON MKTPL*BT04W45M0  |  Address: Amzn.com/bill, WA, US  |  **0745",-80.02,,,,88 Madison Ave,,Curtain Rods + 3x Curtains
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"November 08, 2025",AMAZON MKTPL*BT4FM4HV1,"Purchase from AMAZON MKTPL*BT4FM4HV1  |  Address: Amzn.com/bill, WA, US  |  **2339",-201.03,,,,90 Madison Ave,,2x Keurig K-Express + Wall Scone Lights
Lofty Holding 254 Bowmanville Street DAO LLC-254 Bowmanville Reserves-9520,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-2.83,Loan Payments & Capex,Other Loan Interest Payments,,254 Bowmanville St,,ULD interest reconciliation
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-228,,,,5541 S Peoria St,,PM Fee Oct and Nov for CHA Payment 10 percent
"ECO Systems, LLC-ECO Systems Operations-2624","November 07, 2025",LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,-1.34,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,Reconciliation
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",1.34,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,Reconciliation
Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",100,Revenue,Rents,,25 Circle Dr,,Rent Credit to Tiffany Johnson for Self-Management October and November
Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-365,,,,25 Circle Dr,,PM Fees Oct and Nov
Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",971,Transfers & Other,Transfers Between Accounts,,25 Circle Dr,,October Rent
"ECO Systems, LLC-ECO Systems Operations-2624","November 07, 2025",Lofty Holding 25 Circle Drive DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 25 Circle Drive DAO LLC  |  INTERNAL_TRANSFER,-971,Transfers & Other,Transfers Between Accounts,,25 Circle Dr,,October Rent
Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",2679,Transfers & Other,Transfers Between Accounts,,25 Circle Dr,,Rents Oct and Nov
"ECO Systems, LLC-Hemlane Operations-4420","November 07, 2025",Lofty Holding 25 Circle Drive DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 25 Circle Drive DAO LLC  |  INTERNAL_TRANSFER,-2679,Transfers & Other,Transfers Between Accounts,,25 Circle Dr,,Rents Oct and Nov
Beagle LFTY0454 DAO LLC-22164 Umland Circle Operations-4909,"November 07, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",300,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Hostshare Reservation
"ECO Systems, LLC-ECO Systems Reserves-9971","November 07, 2025",Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,-300,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Hostshare Reservation
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 07, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  TVG3MW4RUQ,93.36,,,,86 Madison Ave,,
"ECO Systems, LLC-Hemlane Operations-4420","November 07, 2025",STRIPE,STRIPE  |  GVKHKY REN,950,,,,25 Circle Dr,,November Rent
Lofty Holding 918 Frederick Boulevard DAO LLC-918 Frederick Blvd Operations-8495,"November 07, 2025",STRIPE,STRIPE  |  NSY2KF REN,977.29,,,,918 Frederick Blvd,,
"ECO Systems, LLC-Hemlane Operations-4420","November 07, 2025",STRIPE,STRIPE  |  GVKKRK REN,950,,,,25 Circle Dr,,November Rent
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 07, 2025",XCEL ENERGY-PSCO,XCEL ENERGY-PSCO  |  XCELENERGY |  00031723269,-94.53,,,,326 South Alcott Street,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 07, 2025",LAWNCARE* LAWNSTARTER,"Purchase from LAWNCARE* LAWNSTARTER  |  Address: LAWNSTARTER.C, TX, US  |  **4225",-70.99,,,,7542 S Colfax Ave,,lawnmowing
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Reserves-8826,"November 06, 2025",LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,5000,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"November 06, 2025",LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,LOFTY HOLDING 5541 S PEORIA STREET DAO LLC  |  INTERNAL_TRANSFER,-5000,Transfers & Other,Transfers Between Accounts,,5541 S Peoria St,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 06, 2025",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,-5000,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Reserves-1767,"November 06, 2025",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,5000,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Reserves-7478,"November 06, 2025",PELICAN LFTY0316 DAO LLC  |  INTERNAL_TRANSFER,PELICAN LFTY0316 DAO LLC  |  INTERNAL_TRANSFER,6000,Transfers & Other,Transfers Between Accounts,,326 South Alcott Street,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 06, 2025",PELICAN LFTY0316 DAO LLC  |  INTERNAL_TRANSFER,PELICAN LFTY0316 DAO LLC  |  INTERNAL_TRANSFER,-6000,Transfers & Other,Transfers Between Accounts,,326 South Alcott Street,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 06, 2025",AMAZON MKTPLACE PMTS,"Return from AMAZON MKTPLACE PMTS  |  Address: Amzn.com/bill, WA, US  |  **5487",55.78,Operating Expenses,Supplies,,84 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 06, 2025",VRBO,VRBO  |  PAYMENT,232.44,,,,88 Madison Ave,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 06, 2025",SP+AFF * YALE HOME,"Purchase from SP+AFF * YALE HOME  |  Address: 855-423-3729, CA, US  |  **4225",-112.06,,,,22 W Main St,,4x Yale Assure Lock 2
Poodle LFTY0452 DAO LLC-85-104 Alawa Pl Operations-1176,"November 06, 2025",Ariel Perreira,Ariel Perreira  |  Invoices,-120,,,,85-104 Alawa Pl,,
Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119,"November 06, 2025",STRIPE,STRIPE  |  8NRVHF REN,1417.5,,,, 8143 S Sangamon St.,,
Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119,"November 06, 2025",STRIPE,STRIPE  |  2CP9T3 REN,272.7,,,, 8143 S Sangamon St.,,
"ECO Systems, LLC-Aligned Operations-5957","November 06, 2025",Aligned Properti,Aligned Properti  |  WEB PMTS,-690,Operating Expenses,Repairs,,1518 Dille Rd,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 06, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  FBORMJN5BE,437.45,,,,88 Madison Ave,,
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 06, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  E2GAWYZAGZ,392.09,,,,86 Madison Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"November 06, 2025","IN *REPAIR MY RENTALS,","Purchase from IN *REPAIR MY RENTALS,  |  Address: 216-2452901, OH, US  |  **6776",-281.25,Operating Expenses,Repairs,,1518 Dille Rd,,Capital Contribution for Repairs to Aligned
"ECO Systems, LLC-Hemlane Operations-4420","November 05, 2025",Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER #3,Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER,-7000,Loan Payments & Capex,Other Loan Principal Payments,,8708 Willard Ave,,EARLDAO Loan Principal Paydown
"ECO Systems, LLC-Hemlane Operations-4420","November 05, 2025",Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER #2,Ecosystems Asset Recovery Lending DAO LLC  |  INTERNAL_TRANSFER,7000,Property Transactions,Other Loan Disbursements Received,,EARLDAO,,EARLDAO Loan Interest June - October 2025
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 05, 2025","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #4","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.74,,,,84 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 05, 2025","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #3","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,86 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 05, 2025","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #2","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,90 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 05, 2025","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #1","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,88 Madison Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"November 05, 2025",Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,940.5,Transfers & Other,Transfers Between Accounts,,1321 Allendale Ave,,Consolidation
Lofty Holding 1518 Dille Road DAO LLC-1321 Allendale Ave Operations-1138,"November 05, 2025",Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,-940.5,Transfers & Other,Transfers Between Accounts,,1321 Allendale Ave,,Consolidation
Ecosystems Asset Recovery Lending DAO LLC-EARLDAO Operations-1697,"November 05, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",800,Revenue,Fees & Other Revenue,,EARLDAO,,EARLDAO Loan Interest June - October 2025
"ECO Systems, LLC-ECO Systems Operations-2624","November 05, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-690,Operating Expenses,Repairs,,3850 W 17th St,,Capital Contribution for Repairs
"ECO Systems, LLC-Aligned Operations-5957","November 05, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",690,Operating Expenses,Repairs,,3850 W 17th St,,Capital Contribution for Repairs
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 05, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  QFUQICU5BM,400.49,,,,86 Madison Ave,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 05, 2025",Baselane,Baselane  |  Rent#1076986,1500,Revenue,Rents,,326 South Alcott Street,,
Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012,"November 05, 2025",STRIPE,STRIPE  |  5PDZBL REN,1035,,,,1432 Sara Ave.,,
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"November 05, 2025",STRIPE,STRIPE  |  GX3HLZ REN,1215,,,,5541 S Peoria St,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 05, 2025",Baselane,Baselane  |  Rent#846198,1490,Revenue,Rents,,326 South Alcott Street,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"November 05, 2025",Aligned Properti,Aligned Properti  |  WEB PMTS,-703.13,Operating Expenses,Repairs,,1518 Dille Rd,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 05, 2025",LAWNCARE* LAWNSTARTER,"Purchase from LAWNCARE* LAWNSTARTER  |  Address: LAWNSTARTER.C, TX, US  |  **4225",-37.97,,,,85-104 Alawa Pl,,Leaf Removal
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"November 05, 2025",Baselane,Baselane  |  Rent#595542,710,Revenue,Rents,,724 3rd Ave,,
Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012,"November 05, 2025",STRIPE,STRIPE  |  5PD882 REN,22.5,,,,1432 Sara Ave.,,
"ECO Systems, LLC-Hemlane Operations-4420","November 05, 2025",STRIPE,STRIPE  |  YQLKKP REN,285.3,,,,10724 Gooding Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1321 Allendale Ave Operations-1138,"November 05, 2025",STRIPE,STRIPE  |  M249JH REN,940.5,,,,1321 Allendale Ave,,
"ECO Systems, LLC-Hemlane Operations-4420","November 05, 2025",STRIPE,STRIPE  |  HKWPWR REN,1435.5,,,,8708 Willard Ave,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 05, 2025",Baselane,Baselane  |  Rent#1076997,1500,Revenue,Rents,,326 South Alcott Street,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 05, 2025",WATER INTERNET,"Purchase from WATER INTERNET  |  Address: 216-664-3130, OH, US  |  **4225",-135.27,,,,10724 Gooding Ave,,
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"November 05, 2025",ARCADIA,"Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **6778",-319.15,,,,724 3rd Ave,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 05, 2025",WATER INTERNET,"Purchase from WATER INTERNET  |  Address: 216-664-3130, OH, US  |  **4225",-327.75,,,,8708 Willard Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 05, 2025",AMAZON MKTPL*NK2WM3WN1,"Purchase from AMAZON MKTPL*NK2WM3WN1  |  Address: Amzn.com/bill, WA, US  |  **2577",-5.39,Operating Expenses,Supplies,,88 Madison Ave,,Battery Spring Contact Plates 20-pair
Lofty Holding 9919 S Oglesby Avenue DAO LLC-9919 S Oglesby Ave Operations-6771,"November 05, 2025",WYOMING SECRETARY OF ST,"Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **2376",-103.75,,,,9919 S Oglesby Ave,,
Lofty Holding 9919 S Oglesby Avenue DAO LLC-9919 S Oglesby Ave Operations-6771,"November 05, 2025",WYOMING SECRETARY OF ST,"Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **2376",-62.25,,,,9919 S Oglesby Ave,,
Lofty Holding 9919 S Oglesby Avenue DAO LLC-9919 S Oglesby Ave Operations-6771,"November 05, 2025",WYOMING SECRETARY OF ST,"Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **2376",-62.25,,,,9919 S Oglesby Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"November 05, 2025",WYOMING SECRETARY OF ST,"Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **6776",-62.25,,,,9919 S Oglesby Ave,,
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"November 04, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  YQB2JKTC4E,1082.98,,,,90 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 04, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  NX7FMQNPL3,224.55,,,,84 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 04, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  W33JZXRXMI,501.89,,,,88 Madison Ave,,
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"November 04, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  W33JZXRXMI,573.12,,,,90 Madison Ave,,
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"November 04, 2025",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  W33JZXRXMI,341.11,,,,86 Madison Ave,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"November 04, 2025",Baselane,Baselane  |  Rent#1079450,1500,Revenue,Rents,,326 South Alcott Street,,
Beagle LFTY0454 DAO LLC-22164 Umland Circle Reserves-3275,"November 04, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-649.77,,,,22164 Umland Circle,,October PM Fees 15 percent
"ECO Systems, LLC-ECO Systems Operations-2624","November 04, 2025",Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,1625.69,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Oct 6 - Nov 2 Cleanings Supplies Trash
Beagle LFTY0454 DAO LLC-22164 Umland Circle Operations-4909,"November 04, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-1625.69,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Oct 6 - Nov 2 Cleanings Supplies Trash
"ECO Systems, LLC-ECO Systems Operations-2624","November 04, 2025",VENMO *Yasbeth Salinas,"VENMO *Yasbeth Salinas, Visa Direct, NY, US  |  **4225",-1625.69,,,,22164 Umland Circle,,
"ECO Systems, LLC-ECO Systems Operations-2624","November 04, 2025",Lofty Holding 5401 Odom Avenue DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 5401 Odom Avenue DAO LLC  |  INTERNAL_TRANSFER,60.72,Transfers & Other,Transfers Between Accounts,,5401 Odom Ave,,Reimbusement for PayLess Electric
Lofty Holding 5401 Odom Avenue DAO LLC-5401 Odom Ave Operations-8237,"November 04, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-60.72,Transfers & Other,Transfers Between Accounts,,5401 Odom Ave,,Reimbusement for PayLess Electric
"ECO Systems, LLC-ECO Systems Operations-2624","November 04, 2025",CONCRETE PEST SOLUTION,"Purchase from CONCRETE PEST SOLUTION  |  Address: CONCRETEPEST., OH, US  |  **4225",-918,,,,10724 Gooding Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"November 04, 2025",ORKIN LLC 002,"Purchase from ORKIN LLC 002  |  Address: 877-620-8282, GA, US  |  **8321",-108,,,,724 3rd Ave,,
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"November 04, 2025",ORKIN LLC 002,"Purchase from ORKIN LLC 002  |  Address: 877-620-8282, GA, US  |  **1532",-97.2,,,,90 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 04, 2025",ORKIN LLC 002,"Purchase from ORKIN LLC 002  |  Address: 877-620-8282, GA, US  |  **8782",-97.2,,,,84 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"November 04, 2025",ORKIN LLC 002,"Purchase from ORKIN LLC 002  |  Address: 877-620-8282, GA, US  |  **8782",-97.2,,,,88 Madison Ave,,
